arquivo,estilo_real,estilo_llm,justificativa,elementos
rap_Concrete Jungle Symphony (1).mp3,rap,rap,"A música apresenta um ritmo marcado por batidas fortes e secas, uma linha de baixo profunda, scratch de DJ e vocais falados em forma de rima (rap), que narram uma história urbana. A presença de um sample vocal melódico e repetitivo complementa a sonoridade característica do gênero.","batida de hip-hop, baixo proeminente, scratch de DJ, vocais de rap, sample vocal melódico"
forro_Rastros do Sertão.mp3,forro,forró,"A música é claramente um forró, caracterizado pelo ritmo cadenciado e dançante, o som proeminente da sanfona como instrumento principal, o violão e a bateria marcando o compasso. A letra, que menciona o 'sertão' e evoca paisagens rurais, reforça a identificação com o gênero.","sanfona (acordeão), violão, bateria com ritmo de forró (xote/baião), baixo, vocal masculino"
forro_Paixão de Balada.mp3,forro,sertanejo,"A música apresenta uma melodia cativante impulsionada pela sanfona, um ritmo dançante com batidas eletrônicas e um baixo pulsante, combinados com um vocal feminino melódico e letras românticas. Essa fusão de elementos é altamente característica do sertanejo contemporâneo, especialmente o subgênero 'sertanejo universitário'.","sanfona marcante, batida rítmica dançante com elementos eletrônicos, vocal feminino melódico, baixo pulsante, letras românticas, produção pop"
forro_Morena do Sertão.mp3,forro,forró,"O ritmo é animado e dançante, com a sanfona (acordeão) como instrumento melódico principal, acompanhada pela zabumba e triângulo, elementos clássicos do forró.","sanfona (acordeão), zabumba, triângulo, baixo elétrico, bateria, violão, ritmo dançante e alegre, vocal feminino em português"
forro_Olhos do Céu (2).mp3,forro,forró,"A música apresenta a sanfona como instrumento principal, acompanhada por um ritmo vibrante e sincopado característico do Nordeste brasileiro, com percussão marcante e uma melodia alegre e dançante, elementos típicos do forró.","sanfona (acordeon), percussão (zabumba, triângulo), baixo, guitarra, flauta, voz feminina, backing vocals, ritmo acelerado e dançante"
samba_SunsetinMotion_FULL_SONG_MusicGPT.mp3,samba,mpb,"A música apresenta um vocal masculino suave, acompanhado por um arranjo com guitarra acústica rítmica, guitarra elétrica melódica, baixo e percussão leve com um toque de latinidade. A sonoridade é sofisticada e relaxante, com um groove contagiante e harmonias que remetem à sensibilidade da Música Popular Brasileira, misturando elementos de pop e bossa nova.","vocais masculinos suaves, guitarra acústica com ritmo constante, guitarra elétrica com melodia e acordes limpos, baixo melódico, percussão leve com característica afro-brasileira/latina (ex: conga, shaker), ritmo steady e relaxado, harmonia sofisticada e agradável"
samba_Sorriso no Batuque.mp3,samba,samba,"A música apresenta uma percussão vibrante e complexa, com destaque para instrumentos como pandeiro, tamborim e surdo, acompanhados por cavaquinho e violão. O ritmo sincopado e a melodia festiva, juntamente com o tema lírico que exalta o 'batuke' e o samba, são características inconfundíveis do samba tradicional.","percussão brasileira (pandeiro, tamborim, surdo), cavaquinho, violão, baixo, voz masculina (solo e coro), ritmo sincopado, melodia alegre e dançante"
forro_Saudade do Meu Sertão (2).mp3,forro,forró,"A música apresenta claramente os elementos do forró, com o uso proeminente da sanfona (acordeon), zabumba e triângulo, que formam o trio tradicional. O ritmo é dançante e típico do gênero, e a letra remete ao ambiente do sertão e das festas juninas, com temas como 'saudade do sertão' e 'arraial'.","sanfona (acordeon), zabumba, triângulo, vocal masculino, baixo, bateria"
forro_Saudade do Meu Sertão.mp3,forro,forró,"A música apresenta a sanfona, zabumba e triângulo como instrumentos principais, com um ritmo dançante característico do forró pé de serra. As letras também remetem a temas e celebrações típicas dessa cultura, como 'arraiá' e 'fogueira'.","sanfona, zabumba, triângulo, ritmo dançante, vocal masculino"
samba_Saia Rodada (1).mp3,samba,forró,"A música apresenta um ritmo animado e dançante, com uma base rítmica forte que remete à zabumba e triângulo, característicos do forró. O violão acústico e a percussão marcante (chocalhos e caixa/rimshot) criam uma sonoridade festiva e convidativa, muito comum no gênero.","voz feminina principal, violão acústico, bateria com marcação forte (bumbo e caixa/rimshot), percussão (chocalho), baixo"
rap_Minha Verdade é Rua.mp3,rap,rap,"A música apresenta um ritmo hip-hop com batidas eletrônicas marcantes e um baixo sintetizado que conduz a harmonia. A vocalização é predominantemente rap, com letras que abordam temas sociais e urbanos, características do gênero. Há também a presença de samples vocais e elementos atmosféricos que complementam a sonoridade típica do rap brasileiro.","batida eletrônica de hip-hop, baixo sintetizado (synth bass), vocais de rap masculinos, samples de voz e efeitos atmosféricos, pads/strings sintetizados"
sertanejo_Conexão Instantânea (1).mp3,sertanejo,mpb,"A música apresenta uma sonoridade suave e melódica, com forte presença de violão acústico e uma voz masculina limpa e expressiva. A harmonia e a progressão melódica são características da Música Popular Brasileira (MPB), que frequentemente explora temas românticos e introspectivos com arranjos bem elaborados e instrumentação predominantemente orgânica.","Violão acústico, Voz masculina melódica, Contrabaixo suave, Bateria com levada leve, Harmonia agradável"
samba_Sorriso no Terreiro.mp3,samba,samba,"A música apresenta claramente a instrumentação e o ritmo característicos do samba, com cavaquinho, pandeiro, surdo e outros instrumentos de percussão, além de um vocal festivo. A letra também faz menções diretas ao samba e sua atmosfera.","cavaquinho, pandeiro, surdo, tamborim, vocais masculinos, ritmo syncopado, coro, percussão brasileira"
rap_Na Corrida da Cidade (1).mp3,rap,rap,"A música apresenta vocalizações em estilo rap, acompanhadas por uma batida eletrônica com elementos de trap, como os ""hi-hats"" rápidos e a presença marcante de um baixo 808. A melodia construída com sintetizadores e um som de piano elétrico complementa a atmosfera urbana e contemporânea característica do gênero.","voz (rap), bateria eletrônica (com hi-hats de trap), baixo 808, sintetizadores, piano elétrico"
rap_Concrete Jungle Symphony.mp3,rap,rap,"A música apresenta uma batida forte e rítmica, um baixo proeminente, samples de metais com sotaque soul/funk e vocais em estilo spoken-word/rimado, características fundamentais do gênero rap e do hip-hop mais clássico.","batida de bateria seca e marcada, linha de baixo proeminente e grooveada, samples de metais (trombetes e saxofones), scratching de turntable, vocais masculinos em estilo rap"
rap_City Grind.mp3,rap,rap,"A música apresenta um vocal de rima (rap) sobre uma batida eletrônica forte e constante, com um baixo marcante e sintetizadores que criam a melodia principal. Elementos de scratch de DJ também são proeminentes, características essenciais do gênero rap.","vocais de rap masculinos, batida eletrônica de hip-hop, linha de baixo profunda e melódica, sintetizadores melódicos, efeitos de scratch de DJ"
rap_Minha Verdade é Rua (1).mp3,rap,rap,"A música apresenta um vocal de rap claro e proeminente, acompanhado por uma batida eletrônica característica do hip-hop, uma linha de baixo marcante e um loop melódico de cordas, elementos típicos do gênero.","vocal de rap masculino, batida de hip-hop, linha de baixo proeminente, loop de instrumento de corda (melodia), efeito de scratch"
samba_Volta Pra Mim.mp3,samba,mpb,"A música apresenta uma sonoridade sofisticada e melancólica, com destaque para o violão acústico, vocais masculinos suaves e uma seção de sopros (saxofone/flauta) que adiciona um toque jazzy. O ritmo é calmo e balançado, e a temática lírica de 'saudade' e amor perdido é comum no gênero. Todos esses elementos são características marcantes da MPB, que mescla influências brasileiras com pop e jazz.","violão acústico, vocal masculino melódico, baixo suave, bateria com percussão leve, saxofone/flauta, melodia romântica e melancólica, ritmo cadenciado e suave"
samba_Volta Pra Mim (1).mp3,samba,mpb,"A canção apresenta uma melodia suave e envolvente, com o violão acústico sendo o instrumento principal, acompanhado por um vocal masculino expressivo. A atmosfera melancólica e introspectiva, juntamente com a estrutura harmônica e rítmica, são características marcantes da Música Popular Brasileira (MPB), que valoriza a poesia e a complexidade musical.","violão acústico proeminente, voz masculina melódica e suave, baixo discreto, bateria com percussão leve e arrastada, atmosfera nostálgica e introspectiva"
forro_Olhos do Céu.mp3,forro,mpb,"A música apresenta um arranjo predominantemente acústico, com um violão marcante e uma voz feminina suave e melódica. O ritmo é calmo e a atmosfera é introspectiva e poética, características fortes da Música Popular Brasileira (MPB), que valoriza a profundidade lírica e a sofisticação harmônica em arranjos muitas vezes acústicos.","violão acústico, voz feminina principal, percussão suave (shaker), baixo sutil, melodia expressiva e fluida"
samba_Sorriso no Terreiro (1).mp3,samba,samba,"A música apresenta instrumentos característicos como cavaquinho, pandeiro e surdo, com um ritmo contagiante e festivo, típicos do samba. A letra também faz menção explícita ao samba.","Cavaquinho, Pandeiro, Surdo, Violão, Baixo, Bateria, Vocal Masculino"
sertanejo_Amor em Pedaços (1).mp3,sertanejo,mpb,"A música apresenta uma instrumentação predominantemente acústica com violão, baixo e bateria suave, criando um ritmo lento e melodioso. O vocal masculino é emotivo e a atmosfera geral é melancólica e introspectiva, características marcantes das baladas da Música Popular Brasileira.","violão acústico, baixo, bateria suave, vocal masculino, melodia suave, atmosfera melancólica"
funk_Baila no Passinho (1).mp3,funk,funk,"O ritmo é marcado por um batidão eletrônico pesado e repetitivo, com um ""tamborzão"" proeminente no baixo e na percussão. A vocalização com frases de efeito e o tema das letras, que mencionam ""favela"", ""quebrada"" e ""baile"", são características do Funk Brasileiro, projetado para dança intensa.","batida eletrônica forte e dançante, linha de baixo sintetizada profunda, vocais masculinos cantados e falados (rap), efeitos de voz e samples, percussão eletrônica (kick, caixa, pratos, palmas), ritmo de 'tamborzão'"
rap_Renascimento.mp3,rap,rap,"A música apresenta um vocal feminino em estilo rap, com trechos melódicos cantados, sobre uma base instrumental que inclui um beat eletrônico cadenciado, piano melancólico e sintetizadores atmosféricos. A estrutura e a forma de expressão lírica são características marcantes do gênero rap, com uma ""vibe"" introspectiva e reflexiva.","Vocal feminino de rap, Piano melancólico, Sintetizadores atmosféricos, Batida eletrônica com kick e snare marcantes, Linha de baixo eletrônica, Canto melódico em seções específicas"
funk_Baile Batendo Forte.mp3,funk,funk,"A música apresenta uma batida eletrônica percussiva e acelerada, acompanhada por um baixo sintético marcante e vocais masculinos em estilo rap/falado. As letras descrevem explicitamente um ""Baile Funk"", referenciando a cultura de festa e dança, com elementos sonoros e rítmicos característicos do Funk brasileiro, especialmente do Funk Carioca.","Batida eletrônica percussiva, Baixo sintético grave, Vocais masculinos (rap/falado), Samples vocais (ex: ""chá chá chá"", ""ô yeah""), Scratch (efeito de discotecagem), Ritmo dançante e repetitivo"
funkmelody_Amor de Volta.mp3,funkmelody,mpb,"A canção apresenta vocais masculinos melódicos em português, acompanhados por uma guitarra elétrica com timbre limpo, baixo e bateria com um ritmo suave e constante. A atmosfera é romântica e ligeiramente melancólica, com uma produção polida que remete às baladas contemporâneas de MPB, que frequentemente mesclam influências pop e jazz.","voz masculina melódica em português, guitarra elétrica limpa, baixo, bateria com batida suave e constante, sintetizadores de fundo"
funk_Balança o Baile.mp3,funk,funk,"A música apresenta uma batida eletrônica marcante com um baixo pesado e vibrante, característicos do tamborzão, um elemento central do Funk Carioca. O ritmo é dançante e as letras mencionam explicitamente o 'baile funk', reforçando a identificação com o gênero.","baixo eletrônico pesado e pulsante, batida de bateria eletrônica com forte kick e snare (tamborzão), sintetizadores para melodias e pads, vocais cantados e falados em estilo rap, atmosfera de festa e dança"
funk_Baile da Quebrada.mp3,funk,funk,"A música apresenta uma batida eletrônica percussiva e acelerada, um baixo sintetizado proeminente, vocais masculinos com elementos de rap e canto em português, e letras que explicitamente mencionam 'funk' e 'baile'. Todos esses elementos são características definidoras do Funk Brasileiro.","batida eletrônica forte e dançante, baixo sintetizado profundo e marcante, vocais masculinos (cantado e falado/rap), samples vocais e ad-libs, sintetizadores (pads e efeitos), ritmo sincopado e propício para dança"
forro_Saudade no Balancê (1).mp3,forro,forró,"A música apresenta um ritmo marcado e dançante, com a sanfona (acordeão) como instrumento principal, complementada por violão, baixo e bateria. A melodia e a cadência são típicas do forró, um gênero musical e dança popular do Nordeste brasileiro. A letra ainda faz menção explícita ao 'forró'.","sanfona (acordeão) proeminente, violão, baixo, bateria, vocal masculino, ritmo sincopado e dançante"
sertanejo_Copo Cheio e Coração Vazio (2).mp3,sertanejo,sertanejo,"A música apresenta instrumentos como sanfona, violão, baixo e bateria com um ritmo dançante que mescla elementos de forró, como o baião. A temática de desilusão amorosa e 'sofrência', a melodia e o estilo vocal são características marcantes do sertanejo contemporâneo, especialmente o 'sertanejo universitário' que incorpora muitas influências.","sanfona (acordeon), violão, baixo, bateria, voz masculina, ritmo dançante, elementos de baião/xote"
funk_Balancinho do Morro (1).mp3,funk,funk,"A música apresenta um ritmo eletrônico marcante com forte apelo à dança, uma linha de baixo sintetizada proeminente e vocais com frases de comando e interação, típicos do Funk brasileiro. A atmosfera é festiva e voltada para a pista de dança, com elementos de refrões pegajosos e batidas eletrônicas característicos do gênero.","batida eletrônica percussiva, linha de baixo sintetizada, vocais masculinos com ad-libs, sintetizadores (pads e melodias), efeitos sonoros e samples vocais"
funk_Baila no Passinho.mp3,funk,funk,"A música apresenta uma batida eletrônica forte e repetitiva, caracterizada pelo 'tamborzão', um elemento fundamental do funk brasileiro. O vocal feminino é energético, alternando entre canto e fala rítmica, e as letras mencionam danças populares como o 'passinho' e o 'gingado', além de referências ao contexto urbano ('favela', 'quebrada'), todos indicativos claros do gênero.","Vocal feminino enérgico com canto e fala rítmica, Batida de 'tamborzão' proeminente, Baixo eletrônico pesado e pulsante, Sintetizador com melodia simples e cativante, Percussão eletrônica marcante"
sertanejo_Copo Cheio e Coração Vazio.mp3,sertanejo,sertanejo,"A música apresenta elementos clássicos do sertanejo, como o ritmo cadenciado, o uso proeminente da sanfona (acordeon), violão e a temática de 'sofrência' e desilusão amorosa, comum no gênero. A melodia e a interpretação vocal reforçam essa identificação.","sanfona (acordeon), violão acústico, bateria com batida característica do sertanejo, baixo marcante, vocal masculino com interpretação emotiva, temática de 'sofrência'"
rap_Rise Up (1).mp3,rap,rap,"A música apresenta um vocal principal em estilo falado/rap, acompanhado por um beat eletrônico forte e constante, linhas de baixo proeminentes e sintetizadores atmosféricos, características marcantes do gênero rap.","vocal de rap (spoken word), batida eletrônica de hip-hop, linha de baixo profunda, sintetizadores e pads"
funk_Baile Batendo Forte (1).mp3,funk,funk,"A música apresenta uma batida eletrônica pesada e sincopada, uma linha de baixo proeminente, e vocais que alternam entre rap e canto melódico, característicos do Funk brasileiro. A letra faz menção explícita ao 'Baile Funk' e ao ambiente de festa e dança, com uma energia contagiante típica do gênero.","Batida eletrônica marcante, Linha de baixo pulsante, Sintetizadores, Vocais de rap e canto, Efeitos sonoros de DJ e samples de voz"
funk_Balança no Baile.mp3,funk,funk,"A música apresenta uma batida eletrônica forte e repetitiva, com um baixo proeminente e elementos percussivos sintéticos. O vocal é enérgico, combinando canto com ""raps"" e gritos de guerra, e a letra faz referência a ""baile"" e à cultura de festa. A menção explícita ""Funk é o grito da nossa campanha"" confirma inequivocamente o gênero.","batida eletrônica forte e repetitiva, baixo proeminente, vocais masculinos enérgicos (cantado e falado/gritado), sintetizadores, atmosfera de festa e dança"
rap_No Corre da Vitória.mp3,rap,rap,"A música apresenta um vocal principal que rima de forma ritmada e expressiva, característico do rap. O instrumental é dominado por um beat eletrônico com percussão marcante, linhas de baixo proeminentes e sintetizadores com melodia que remete a flauta, elementos comuns ao gênero hip-hop/rap. A 'vibe' é urbana e intensa.","vocal de rap masculino, beat eletrônico forte, linhas de baixo proeminentes, melodia de sintetizador (flauta), percussão com hi-hats e caixa secos"
rap_No Corre da Vitória (1).mp3,rap,rap,"A música apresenta vocalizações em estilo de rap com um flow cadenciado, acompanhadas por uma batida eletrônica característica do hip-hop/trap, com forte presença de bateria e baixo sintetizado. A melodia de cordas adiciona um tom dramático e atmosférico, comum em produções de rap contemporâneo.","vocal de rap, batida de hip-hop/trap, bateria eletrônica, baixo sintetizado, cordas dramáticas"
funk_Baile da Quebrada (1).mp3,funk,funk,"A música apresenta um ritmo eletrônico forte e repetitivo, com uma linha de baixo proeminente e sintetizadores percussivos agudos, características marcantes do funk brasileiro. A vocalização ritmada e as batidas contagiantes são ideais para dança, evocando a energia de um 'baile funk'.","batida eletrônica de bateria (kick, snare, hi-hats, claps), linha de baixo sintetizada e pesada, sintetizadores agudos e repetitivos, vocais falados/cantados ritmicamente, samples vocais repetitivos (ex: 'vamos embora', 'treme', 'rende'), atmosfera de festa e dança"
sertanejo_Conexão Instantânea.mp3,sertanejo,sertanejo,"A música apresenta uma melodia romântica e cativante, com forte presença de violão e uma guitarra slide (steel guitar) característica do gênero. O ritmo é suave e dançante, com uma percussão leve e uma estrutura vocal melódica que remete diretamente ao estilo sertanejo universitário e pop. Os backing vocals e o refrão pegajoso também são elementos comuns.","violão, guitarra slide/steel guitar, baixo, bateria, vocais masculinos (principal e de apoio), melodia romântica, ritmo suave e dançante, arranjo pop"
rap_Na Corrida da Cidade.mp3,rap,rap,"A música apresenta vocalizações em estilo rap, acompanhadas por uma batida de hip-hop moderna com bateria, baixo e guitarra. A presença do violão acústico e da guitarra limpa adiciona uma sonoridade que pode flertar com o MPB ou folk, mas a cadência rítmica e a entrega vocal são inequivocamente do rap.","vocais de rap masculinos, violão acústico, guitarra elétrica com timbre limpo, baixo, bateria com batida de hip-hop/trap, pads/sintetizadores atmosféricos"
rap_Rise Up.mp3,rap,rap,"A música apresenta vocalizações em forma de rap, acompanhadas por uma batida hip-hop marcante, com ênfase em bateria e baixo, e uma sonoridade urbana e narrativa.","vocal de rap masculino, batida de hip-hop, linha de baixo proeminente, sintetizadores atmosféricos, percussão com bumbo e caixa marcantes"
sertanejo_Coração em Pedaços (3).mp3,sertanejo,forró,"A música apresenta a sanfona (acordeão) como instrumento principal e condutor da melodia, acompanhada por violão, baixo e bateria com um ritmo dançante e constante. As letras melancólicas sobre amor e desilusão, juntamente com a instrumentação e a sonoridade geral, são traços distintivos do forró, especialmente do forró romântico.","sanfona (acordeão) melódica e proeminente, violão com batida rítmica marcante, baixo e bateria com ritmo característico do forró, vocal feminino e masculino expressivo"
sertanejo_Amor em Pedaços.mp3,sertanejo,sertanejo,"A música apresenta uma melodia melancólica com vocal masculino emotivo e arranjo predominantemente acústico, com destaque para o violão. A temática de amor e perda (sofrência) e a instrumentação são características marcantes do estilo sertanejo romântico contemporâneo.","violão acústico com arpejos e batidas, voz masculina emotiva, baixo, bateria leve com ritmo de balada, pads/cordas de teclado"
forro_Saudade no Balancê.mp3,forro,forró,"A música apresenta claramente elementos do forró, com o destaque para o acordeão (sanfona), o ritmo característico e a letra que menciona explicitamente o gênero, além da sonoridade tradicional do nordeste brasileiro.","acordeão (sanfona), violão acústico, vocal masculino, percussão com ritmo de forró"
rap_Raízes e Asas (1).mp3,rap,rap,"A música apresenta um vocal principal em estilo rap, acompanhado por um beat eletrônico com elementos de trap, bateria programada e uma melodia de piano marcante. A atmosfera e a cadência são características do gênero rap.","vocal rap, beat de trap, bateria eletrônica, piano, baixo"
funk_Balança no Baile (1).mp3,funk,funk,"A música apresenta um ritmo eletrônico contagiante e repetitivo, com forte ênfase no grave e sintetizadores marcantes, característicos do Funk Carioca. A presença de samples vocais, batidas ""pá pá pá"" e a vocalização falada/cantada com temática de baile e dança reforçam a identificação com o gênero.","batida eletrônica pesada e seca, linha de baixo sintética e proeminente, samples vocais percussivos (""pá pá pá""), sintetizadores melódicos e harmônicos, vocalização em estilo rap/falado, gritos e exclamações de festa, ritmo acelerado e dançante"
funk_Balança o Baile (1).mp3,funk,funk,"A música apresenta um ritmo eletrônico contagiante com um ""tamborzão"" marcante, vocalizações rítmicas e um bass line pesado, características essenciais do funk brasileiro. As letras também fazem referência direta ao 'baile funk'.","tamborzão eletrônico, baixo sintetizado proeminente, vocalizações rítmicas, ritmo acelerado e dançante, sintetizadores"
rap_Rima na Rua.mp3,rap,rap,"A música apresenta um beat de hip-hop com bateria eletrônica, um baixo proeminente, pads atmosféricos e um vocal em estilo 'spoken word' com rimas e cadência, características fundamentais do gênero rap.","beat de hip-hop/trap, baixo profundo, pads sintetizados atmosféricos, vocal masculino em rap, piano melancólico"
sertanejo_Coração de Vidro (1).mp3,sertanejo,sertanejo,"A canção apresenta um violão acústico como instrumento principal, acompanhado por bateria e baixo, com uma melodia melancólica reforçada pela adição de violino ou violoncelo. Os vocais masculinos são expressivos e a estrutura da música é de uma balada romântica lenta, elementos muito característicos do estilo sertanejo, especialmente o 'sertanejo romântico' ou 'universitário' moderno que explora temas de amor e desilusão com arranjos emotivos.","violão acústico, voz masculina, bateria, baixo, violino ou violoncelo (cordas), ritmo de balada, melodia melancólica"
sertanejo_Coração de Vidro.mp3,sertanejo,sertanejo,"A canção apresenta uma melodia romântica e melancólica, com vocal masculino expressivo e o violão acústico como instrumento principal. A temática de desilusão amorosa e a forma como é cantada são características marcantes das baladas do gênero sertanejo romântico e universitário.","violão acústico, voz masculina, baixo, bateria, teclado/pad (fundo)"
funk_Balancinho do Morro.mp3,funk,funk,"A música apresenta um ritmo eletrônico contagiante com batidas fortes e repetitivas, vocais falados e cantados de forma rítmica, e uma linha de baixo proeminente. A temática das letras, que descreve uma festa e balanço, aliada aos elementos sonoros como os samples de voz e a estrutura da melodia, são características marcantes do funk brasileiro, especificamente do funk carioca.","batida eletrônica forte e repetitiva, linha de baixo pesada (sub-bass), vocais falados e ritmados, samples de voz ('uh uh', 'opa', 'vai'), sintetizadores melódicos, atmosfera de festa e dança"
rap_Raízes e Asas.mp3,rap,rap,"A música apresenta um ritmo de hip-hop marcado por batidas de bateria eletrônica e uma linha de baixo. A vocalista utiliza predominantemente o rap para a narrativa, alternando com trechos cantados e harmonias vocais de caráter soul/gospel, acompanhados por piano e cordas.","Rap vocal, Hip-hop beat (kick e snare), Piano, Vocais femininos (canto e 'humming'), Baixo, Strings (pads de cordas)"
rap_Renascimento (1).mp3,rap,rap,"A música apresenta uma batida rítmica forte e repetitiva, característica do hip-hop, com um vocal falado e rimado (rap) em português. A instrumentação inclui uma linha de baixo proeminente e elementos eletrônicos, criando uma ""vibe"" urbana e assertiva, típica do gênero.","voz com rimas, batida de hip-hop, linha de baixo proeminente, elementos eletrônicos, vocalização no início"
sertanejo_Coração em Ruínas.mp3,sertanejo,sertanejo,"A música apresenta uma melodia melancólica com uma voz feminina emotiva, acompanhada de violão acústico e a marcante presença da sanfona (acordeão). O tema da desilusão amorosa e o arranjo orquestral suave, com um ritmo lento e cadenciado, são elementos típicos do estilo sertanejo romântico, popularmente conhecido como ""sofrência"".","violão acústico, sanfona (acordeão), voz feminina melancólica e emotiva, baixo, percussão suave, melodia sentimental"
rap_Rima na Rua (1).mp3,rap,rap,"A música apresenta um vocal principal em estilo falado e rítmico (rap), sobre uma batida eletrônica marcada, com baixo sintetizado e elementos melódicos. Os refrões contam com vocais femininos melódicos e harmonizados, uma característica comum na fusão do rap com R&B contemporâneo.","batida eletrônica de hip-hop, baixo sintetizado, vocais de rap masculino, vocais melódicos femininos (harmonizados), pads de sintetizador"
sertanejo_1DeQueméaCulpa(SertanejoBallad)_FULL_SONG_MusicGPT.mp3,sertanejo,mpb,"A música apresenta uma melodia envolvente com foco na voz masculina suave e no violão acústico, acompanhados por uma base rítmica leve e elementos de teclado que criam uma atmosfera romântica e introspectiva. Essa combinação de instrumentação, vocalização e temática é característica das baladas da Música Popular Brasileira (MPB).","voz masculina suave e emotiva, violão acústico proeminente, bateria com batida leve e constante, baixo melódico, teclado com acordes e pads harmoniosos"
mpb_Novo Amanhecer.mp3,mpb,mpb,"A música apresenta uma melodia suave com voz feminina delicada, acompanhada por violão acústico, baixo e percussão sutil, características marcantes da MPB. O ritmo é calmo e a atmosfera introspectiva, típicas de canções do gênero.","voz feminina, violão acústico, baixo, percussão leve, pad/synth"
rap_Ritmo da Luta.mp3,rap,rap,"A música apresenta uma batida eletrônica marcante, uma linha de baixo sintetizada e, principalmente, um vocal em estilo rap com flow e métrica característicos do gênero. A temática e a produção são consistentes com o estilo.","batida eletrônica, linha de baixo sintetizada, vocal de rap, sintetizadores"
sertanejo_Coração em Pedaços (2).mp3,sertanejo,forró,"A música apresenta a sanfona como instrumento principal, acompanhada por violão, baixo e bateria, com um ritmo sincopado característico e uma melodia que transita entre o melancólico e o dançante, elementos típicos do forró, especialmente do subgênero 'forró universitário' ou 'pé-de-serra'.","sanfona (acordeão), violão, baixo, bateria, voz masculina, ritmo sincopado"
funk_Balanço do Baile.mp3,funk,funk,"A música apresenta batidas eletrônicas marcantes e repetitivas de ""drum machine"", um baixo pesado e sintetizadores que criam uma atmosfera propícia para a dança. O vocal em português, com rimas e falas características, e a temática de festa e movimento, são elementos clássicos do funk brasileiro. Há também uma fala explícita de 'funk é nosso'.","batida eletrônica de drum machine, baixo sintetizado pesado, sintetizadores (melodia e pads), vocais masculinos (cantado e falado/rimado), ad-libs e vocalizações percussivas"
sertanejo_Coração Sem Norte.mp3,sertanejo,sertanejo,"A música apresenta uma melodia suave e melancólica, com um forte destaque para o violão acústico e uma interpretação vocal masculina emotiva. O ritmo lento e a temática de amor perdido e saudade são características marcantes do sertanejo romântico, especialmente das baladas contemporâneas do gênero.","violão acústico, voz masculina, contrabaixo, bateria suave (com vassourinhas), cordas (em segundo plano)"
funk_Bonita Demais (1).mp3,funk,funk,"A música apresenta uma batida eletrônica pulsante e dançante, com forte presença de bateria eletrônica, baixo sintetizado e melodias de synth. O vocal utiliza autotune e se encaixa no estilo de canto e rap característico do funk brasileiro contemporâneo, com uma vibe urbana e festiva.","batida eletrônica forte e repetitiva, baixo sintetizado proeminente, sons de sintetizadores para melodia e harmonia, vocal com autotune, ritmo acelerado e dançante"
funk_Bate Com Tudo (1).mp3,funk,funk,"A música apresenta um ritmo eletrônico contagiante com batidas pesadas e marcantes, uma linha de baixo proeminente e vocais falados/cantados de forma rítmica, características inconfundíveis do Funk Brasileiro. A letra e a 'vibe' são focadas em dança e movimento, elementos centrais do gênero.","batida eletrônica pesada, linha de baixo proeminente, sintetizadores, vocais masculinos com estilo de MC, percussão eletrônica, ad-libs vocais"
sertanejo_Coração em Pedaços.mp3,sertanejo,forró,"O uso proeminente do acordeão (sanfona) e do violão, a melodia sentimental e o ritmo suave e cadenciado, juntamente com a vocalização masculina emotiva, são características marcantes do forró, especialmente em suas vertentes românticas ou no subgênero xote. A presença de cordas adiciona uma camada de melancolia típica dessas canções.","violão (base principal), acordeão (melodia e harmonia), voz masculina (emotiva e melancólica), baixo, bateria leve (com vassourinha ou pegada suave), cordas (violino, violoncelo para atmosfera melancólica), ritmo lento a moderado, com um balanço suave"
sertanejo_Coração Sem Norte (1).mp3,sertanejo,mpb,"A música apresenta um vocal feminino emotivo e melodioso, acompanhado por violão acústico e um arranjo de cordas que adiciona uma camada melancólica. O ritmo é lento, característico de uma balada, e a ""vibe"" geral é introspectiva e sentimental. Essa combinação de instrumentação acústica, vocal expressivo e foco na emoção e melodia é um traço distintivo da MPB.","voz feminina emotiva, violão acústico, arranjo de cordas (violino/viola), baixo, bateria suave, ritmo lento de balada"
sertanejo_Coração Partido (1).mp3,sertanejo,sertanejo,"A música apresenta uma instrumentação característica do sertanejo, com o violão base e a sanfona (acordeão) em destaque, tocando melodias e acompanhamento. O vocal feminino é emotivo e a 'vibe' da canção, com sua melodia melancólica e ritmo cadenciado, se alinha com o subgênero sertanejo romântico.","voz feminina emotiva, violão, sanfona/acordeão, baixo, percussão leve/bateria com vassourinhas"
"funk_Chego devagar, mas o brilho denuncia.mp3",funk,funk,"A música apresenta uma batida eletrônica marcante com um baixo sintetizado pulsante e groovado, característicos do funk moderno brasileiro. A vocalização feminina é confiante e ritmada, e os elementos de sintetizador contribuem para uma atmosfera urbana e dançante, alinhada com as tendências contemporâneas do gênero.","Bateria eletrônica, Baixo sintetizado (synth bass), Sintetizadores (pads e melodias), Vocal feminino"
funk_Bate com Vontade (1).mp3,funk,funk,"A música possui uma batida eletrônica forte e repetitiva, com um baixo marcante e vocais que incitam a dança, características essenciais do funk brasileiro. A própria letra menciona 'funk viral', confirmando a intenção do gênero.","Batida eletrônica e percussiva, Baixo eletrônico pesado e pulsante, Vocal feminino com refrões e comandos de dança, Sintetizadores e efeitos sonoros característicos, Ritmo acelerado e dançante"
